000,----,--,--,--,city                 ,latitude   ,longitude   ,studieverblijf,standplaats,zonder verankering,kort verblijf
001,---¶,EU,--,--,EUROPA               ,-          ,-           ,3,16,20,58
002,-¶¶¶,EU,BE,--,BRUSSEL              ,50.85      ,4.35        ,-,-,-,-
003,--¶¶,EU,GB,--,VERENIGD KONINKRIJK  ,-          ,-           ,-,8,10,9
004,-¶¶¶,EU,GB,--,LONDON               ,51.507351  ,-0.127758   ,-,1,2,4
005,----,EU,GB,--,London               ,-          ,-           ,-,-,Koen Jonckheere,-
006,----,EU,GB,--,London               ,-          ,-           ,-,-,Tine Huyse,-
007,----,EU,GB,--,London               ,-          ,-           ,-,Tine Huyse,-,-
008,----,EU,GB,--,London               ,-          ,-           ,-,-,-,Dorien Van de Mieroop
009,----,EU,GB,--,London               ,-          ,-           ,-,-,-,Niel Hens
010,----,EU,GB,--,London               ,-          ,-           ,-,-,-,Samuel Mareel
011,----,EU,GB,--,London               ,-          ,-           ,-,-,-,Violet Soen
012,-¶¶¶,EU,GB,--,OXFORD               ,51.752021  ,-1.257726   ,-,4,-,-
013,----,EU,GB,--,Oxford               ,-          ,-           ,-,Koen De Temmerman,-,-
014,----,EU,GB,--,Oxford               ,-          ,-           ,-,Liesbet Geris,-,-
015,----,EU,GB,--,Oxford               ,-          ,-           ,-,Lieve Van Hoof,-,-
016,----,EU,GB,--,Oxford               ,-          ,-           ,-,Peter Van Nuffelen,-,-
017,-¶¶¶,EU,GB,--,CAMBRIDGE            ,52.205337  ,0.121817    ,-,-,2,1
018,----,EU,GB,--,Cambridge            ,-          ,-           ,-,-,Jan Aerts,-
019,----,EU,GB,--,Cambridge            ,-          ,-           ,-,-,Lennart Martens,-
020,----,EU,GB,--,Cambridge            ,-          ,-           ,-,-,-,Lennart Martens
021,-¶¶¶,EU,GB,--,EXETER               ,50.718412  ,-3.533899   ,-,-,2,-
022,----,EU,GB,--,Exeter               ,-          ,-           ,-,-,Lieve Van Hoof,-
023,----,EU,GB,--,Exeter               ,-          ,-           ,-,-,Peter Van Nuffelen,-
024,-¶¶¶,EU,GB,--,NOTTINGHAM           ,52.954783  ,-1.158109   ,-,-,1,1
025,----,EU,GB,--,Nottingham           ,-          ,-           ,-,-,Wim Thielemans,-
026,----,EU,GB,--,Nottingham           ,-          ,-           ,-,-,-,Giovanni Samaey
